Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2015_exists,2016_exists,2017_exists,2018_exists,2019_exists,2020_exists,2021_exists,2022_exists,2023_exists,2024_exists,2025_exists,Number of changes,Frequent changer
Arcadia Community Association,,,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,,,1.0,1.0,1.0,1.0,1,False
"Arches Homeowners Association, The",,,,,,,,,the management trust,the management trust,the management trust,,,,,,,,,1.0,1.0,1.0,1,False
Arden Heights Community Association,,,,,,,,,beazer home,terra west management service,taylor association management,,,,,,,,,1.0,1.0,1.0,3,True
Arden Park Homeowners' Association,the prescott companie,camco,camco,camco,camco,camco,camco,camco,camco,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Ardiente Homeowners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,seabreeze management,seabreeze management,seabreeze management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Argents Hill Drive Homeowners Association,adept management service,adept management service,,adept management service,adept management service,adept management service,adept management service,adept management service,adept management service,sierra community management,sierra community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Arianna Ridge Homeowners Association,camco,camco,camco,camco,camco,camco,camco,camco,camco,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Aries & Nova Pointe Homeowners Association,,,,,,,,apogee management,apogee management,apogee management,firstservice residential nevada,,,,,,,,1.0,1.0,1.0,1.0,2,True
Arista Homeowners' Association,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arlington Ranch Estates Homeowners Association,mesa management,mesa management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,sierra community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Arlington Ranch Landscape Maintenance Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arlington Ranch Manor Homeowners Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arlington Towers Homeowners Association,western nevada management,western nevada management,western nevada management,kenyon associate,kenyon associate,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Arlington West Manor Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arlington West Twilight Homeowners Association,associa,associa,associa,associa,associa,prime community management,prime community management,prime community management,prime community management,prime community management,prime community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Armano Homeowners Association,,,,,,,prime community management,prime community management,prime community management,prime community management,prime community management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Arrowcreek Homeowners Association,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arrowhead Estates Homeowners Association,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arrowhead Pointe Owners Association Inc,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,performance cam,performance cam,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Arroyo Canyon Homeowners Association,level property management,level property management,level property management,las vega valley community management,las vega valley community management,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Arroyo Crossing Homeowners Association,,,,,,,,,,the management trust,the management trust,,,,,,,,,,1.0,1.0,1,False
Arroyo Grande Landscape Maintenance Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arroyo Mesa Townhomes Homeowners Association,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Arroyo Summit Homeowners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,first columbia community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Arroyo Trails Community Association,,,,,,,,,,,thoroughbred management,,,,,,,,,,1.0,1.0,1,False
Artesia Owners Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Artesian Homeowners Association,,,camco,camco,camco,camco,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,griswold real estate management,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Ascaya Owners Association,ctf development,ctf development,ctf development,ctf development,ctf development,ctf development,,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2,True
Ascension Community Association,,,,,,,,,,,nevada community management,,,,,,,,,,1.0,1.0,1,False
Ascent Community Association,,,,,,,associa,associa,associa,associa,associa,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Ascent Homeowners Association,,,,,,,triton hoa service,triton hoa service,triton hoa service,triton hoa service,triton hoa service,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
